word,pTrump,act1,act2,act3
wow,0.67,0.28,-0.19,-0.21
",",0.71,0.26,-0.26,-0.29
just,0.75,0.31,-0.37,-0.36
announced,0.78,0.45,-0.49,-0.45
that,0.79,0.38,-0.52,-0.44
lyin,0.81,0.47,-0.6,-0.52
,0.87,0.7,-0.84,-0.85
ted,0.88,0.79,-0.99,-1.03
and,0.9,0.68,-1.03,-1.08
kasich,0.89,0.7,-1.08,-1.13
are,0.88,0.55,-1,-1.05
going,0.89,0.66,-1.09,-1.2
to,0.88,0.41,-0.99,-1.1
collude,0.86,0.39,-0.98,-1.06
in,0.86,0.33,-0.95,-1.03
order,0.88,0.52,-1.07,-1.22
to,0.87,0.29,-0.96,-1.11
keep,0.82,0.1,-0.84,-0.96
me,0.89,0.49,-1.05,-1.27
from,0.85,0.28,-0.91,-1.09
getting,0.87,0.42,-1,-1.21
the,0.86,0.28,-0.94,-1.09
republican,0.87,0.32,-0.96,-1.16
nomination,0.85,0.21,-0.89,-1.07
.,0.85,0.13,-0.86,-1
desperation,0.83,0.13,-0.85,-1
!,0.92,0.58,-1.13,-1.43